text,label
Nindot kaayo ang salida,1
Dili ko ganahan sa iyang batasan,0
Malipayong adlaw sa tanan!,1
Kapoy na kaayo ko,0
Maayo kaayo siya moluto,1
Gikasuko ko sa iyang gibuhat,0
Lami kaayo ang pagkaon,1
Wala koy gana karon,0
Maayo ang serbisyo sa ospital,1
Masuko siya pirmi bisan gamay lang,0
Lipay ko nga nakapasar ko sa exam,1
Gikapoy ko og sige’g trabaho,0
Maayo nga higala siya,1
Puro lang siya reklamo,0
Nalingaw ko sa duwa,1
Gikapoy na ko sa sitwasyon,0
Nindot ang panahon karon,1
Di ko ganahan sa ilang serbisyo,0
Gipasidunggan siya tungod sa iyang kaayo,1
Luoy kaayo ang bata,0
Nakatabang siya nako sa dako nga paagi,1
Di na nako makaya,0
Ganahan ko sa imong kanta,1
Wala siya motabang bisan kinahanglan na,0
Maayo kaayo nga desisyon to,1
Gimingaw ko sa akong pamilya,0
Nindot ang dagan sa akong adlaw,1
Daghan problema ang miabot karon,0
"Gipasaylo ko niya, lipay kaayo ko",1
Gibiyaan ko niya sa walay klaro,0
Maayo ang resulta sa akong check-up,1
Gikasakitan ko sa iyang gisulti,0
Lami gyud ang ilang kape,1
Dili ko kontento sa ilang trabaho,0
Naay paglaum para sa tanan,1
Gikapoy na ko sa kinabuhi,0
Dali ra siya kasabot,1
Dili siya kasaligan,0
Malipay ko nga magkita ta,1
Sige lang siya og yawyaw,0
Maayo iyang pagdawat sa problema,1
Dili maayo ang iyang gawi,0
Nakat-on ko og daghan sa seminar,1
Dili siya mutuman sa kasabutan,0
Nalipay ko sa among reunion,1
Pwerteng bati-a sa ilang serbisyo,0
Nagmalampuson ang ilang negosyo,1
Wala ko makadawat og tabang gikan niya,0
Nindot nga experience ang among bakasyon,1
Naglisod ko og sabot sa iyang gipangsulti,0
Pasidi kayka tawhana ,0
Di nako ,0
Gwapa kaayo ka,1
Imong mama kigwa ,0
Brayt kayka,1
Hugawa diris manila uy ,0
Bogo bogo kaayo mga tawo sa ilang ginaboto,0
Yawa sa laki diris kalibotan uy daghan mamayi,0
Brayt jud kaayo cya makasasuya ,1
Laysho kaayo to nga mall ay ,1
Mayra jud nga naulian naka,1
Taman ron wala japon ko nadawat ug trabaho ,0
Ma dato ra ko puhon,1
Sakit kaayo akong oh sa kasaba,0
Buang buang lagi to cyag kiniiya ,0
Lami kaayo nilutuan didto ay ,1
"Balik nasab ta ug laag, laay na kaayo ",1
Layhan kaayo ko sa iyang panamit ,1
Dalia ra atong among gisakyan unta permi ,1
"Ga pasalamat kaayo ko ni kuan jud, dako kaayo cya gi tabang nako ",1
Wala najud koy kawarta bilin,0
Makalingaw kaayo tong perya,1
Mahala na sa bugas ,0
"Ta kaon, ing taas na akong sweldo ron ",1
Ako'y libre nimo ,0
Kiwaha niya mo takaw murag man gi kigwa ,0
Chadaha sa iyang buhok,1
Dili cya hilig maminaw sturyahan ,0
"Grabeha niya makautang, wala may konsensya sa lain",1
"Maayo kaayo cya maki sturyag tawo ay, madala jud ko sa iyang gi ingon",1
Luoda sa mga laki ,0
"Kuyawag kalingawan sa uban, agi man ug binastos ",0
Nalingaw kaayo sila sa ilang si sturyahan,1
Maka pahulay najud ko karon sabado ,1
Gi librehan ko niya ug cake ,1
Sayo akong out karon,1
Ga linog adtong niagi ,0
"Kusog kaayo ulan adtong niagi, taman ron wala pa na uga akong hinalay",0
Gitugnaw kaayo ko ,0
Tugnawa dira dapita,0
Lami kaayo ka init samot gikan ug tugnaw kaayo ,0
Maka subaw man ning panahon ron,0
Barato ra akong palit ani pero nindot kaayo cya,1
Ganahan kaayo ko sa gugma na gi hatag nimo sa ako,1
"Naligsan cya pagtabok niya, wala man gud ing lantaw daan",0
naka kuha kog kwarta gikan sa karsada,1
na buak niya akong dulaan,0
nabale ang tibuok na lamesa sa sala,0
gitabangan ko niya ug kuha,1
Gikalibanga ko,0
Nanimaho ang kwarto,0
Humot ang kwarto,1
Walay klase kay ga bagyo,0
Nakakitag kwarta sa dalan,1
Naatak akong wallet,0
Nisakit akong tiyan kinatawa,1
Naipit ako kamot sa purtahan,0
Gasakit ako tuhod,0
Bati pagka alot,0
Traffic kaayo sa dalan,0
Maayo kaayo ang panahon,1
Nabuslot ako pantalon,0
Nabusog sa pagkaon,1
Nakatiwas sa buluhaton,1
Gisugo sa ginikanan,0
Walo ka oras na tulog,1
Sugod na ang bakasyon,1
Nakadaog sa dula,1
Nawala ang internet,0
Nindot ang sanina na napalit,1
Nahapla ko sa dalan,0
Nabatak ang plato,0
Nakakuhag dagko nga marka sa skwelahan,1
Naulian sa gibati nga sakit,1
Gihatagan ko niya'g pagkaon,1
Basa pa ang sanina,0
Naligo sa dagat,1
